question,answer,additional_info,metadata.specialty,metadata.region,metadata.subregion,metadata.diagnosis,metadata.procedure,metadata.specialty_raw,metadata.region_raw,metadata.subregion_raw,metadata.diagnosis_raw,metadata.procedure_raw
"With Atlas Fractures & Transverse Ligament Injuries, What are the indications for Posterior C1-C2 Fusion vs. Occipitocervical Fusion?",Unstable Type II (Controversial)  Unstable Type III (Controversial) Dickman Type I TAL Injuries   Combined C1 and C2 Fractures,,spine,cervical spine,,,,spine,cervical spine,,,
What Pelvic Ring Injury is Associated with the Highest Rate of Shock?,What %?  APC III - 67%,Vertical Shear is 63%,trauma,pelvis,,,,trauma,pelvic ring,pelvic ring,,
What is the Rate of ARDS with APC III Pelvic Ring Injuries?,18%,,trauma,pelvis,,,,trauma,pelvic region,pelvic region,,
What is the Most Common Arterial Injury in LC-type Pelvis Ring Injuries?,Obturator Artery,,trauma,pelvis,,,,trauma,pelvis,,,
What Complication can be seen with Bilateral Internal Pudendal arterial injury in Pelvis Ring Injuries?,Impotence,,trauma,pelvis,,,,trauma,pelvis,,,
What are the Major Predictors of Mortality in Pelvis Ring Injuries?,Blood Transfusion w/in 24h (Shock) Increased ISS & RTS scores Age >60 Open pelvis,,trauma,pelvis,,,,trauma,pelvis,,,
Where is the Preferred Placement for TITS Screws in patients with Sacral Dysmorphism?,Why?  S2 - Larger Safe Zone than S1,"Anatomic Variant in 30-40% of Patients - Osseous Pathways in Upper Sacral Segment are NARROWER & More Oblique, which Precludes Safe Placement of Transiliac-Transsacral Screws at S1 Level It IS Possible to Safely place Intraosseous Iliosacral Screws at S1 level if surgeon is Aware of dysmorphism   Safe Zone for Screw Placement Larger at S2 Level in Dysmorphic Patients, thus Preferred level for Transiliac-Transsacral screw Placement in this Population",spine,spine,,,,spine,sacrum,sacrum,,scr
What is the Significance of Sacral Dysmorphism with Placement of TITS Screws?,"Osseous Pathways in Upper Sacral Segment are NARROWER & More Oblique, which Precludes Safe Placement of Transiliac-Transsacral Screws at S1 Level","Anatomic Variant in 30-40% of Patients It IS Possible to Safely place Intraosseous Iliosacral Screws at S1 level if surgeon is Aware of dysmorphism   Safe Zone for Screw Placement Larger at S2 Level in Dysmorphic Patients, thus Preferred level for Transiliac-Transsacral screw Placement in this Population",spine,spine,,,,spine,sacrum,sacrum,,scr
What Young-Burgess Pelvic Ring Injury is Associated with the Highest Risk for Loss of Reduction?,Vertical Shear,,trauma,pelvis,,,,trauma,pelvic ring,pelvic ring,,
What PE PPx Shoud be used for Pelvic Ring Injury with Associated Closed Head Injury?,IVC Filter,,trauma,pelvis,,,,trauma,pelvis,,,
Is Cervical Radiculopathy More Common in Men or Women?,MEN,,spine,cervical spine,,,,spine,cervical spine,,cervical radiculopathy,
What is the Age of Peak Incidence of Cervical Radiculopathy?,50 to 54,,spine,cervical spine,,,,spine,cervical spine,,cervical radiculopathy,
What Race is at Greater Risk of Cervical Radiculopathy?,White,,spine,cervical spine,,,,spine,cervical spine,,cervical radiculopathy,
What Substance Disorder is a Major Risk Factor for Cervical Radiculopathy?,Cigarette Smoking,,spine,cervical spine,,,,spine,cervical spine,,cervical radiculopathy,
What Concomitant Neurologic Disorder is a Major Risk Factor for Cervical Radiculopathy?,Prior Lumbar Radiculopathy,,spine,cervical spine,,,,spine,cervical spine,,cervical radiculopathy,
"""What are the 3 Major Causes of Cervical Radiculopathy?","Degenerative Cervical Spondylosis  Disc Herniation (""""Soft Disc"""") Double-Crush Phenomenon""",,spine,cervical spine,,,,spine,cervical spine,,cervical radiculopathy,
What are 2 Ways Degenerative Cervical Spondylosis Lead to Cervical Radiculopathy?,Discosteophyte Complex and Loss of Disc Height Chondrosseous Spurs of Facet and Uncovertebral joints,,spine,cervical spine,,,,spine,cervical spine,,cervical radiculopathy,
What is the Predominant Symptom of INTRAFORAMINAL Cervical Disc Herniations?,Radicular Pain,,spine,cervical spine,,,,spine,cervical spine,,,
What is the Most Common Type of Cervical Disc Herniations?,Posterolateral,,spine,cervical spine,,,,spine,cervical spine,,,
Which 2 Structures does the Disc Herniate Between in Posterolateral Cervical Disc Herniations?,Posterior Edge of Uncinate and Lateral Edge of PLL,,spine,cervical spine,,,,spine,cervical spine,,,
What is the Predominant Symptom of Posterolateral Cervical Disc Herniations?,Mostly MOTOR Symptoms,,spine,cervical spine,,,,spine,cervical spine,,,
What is the Predominant Symptom of Midline Cervical Disc Herniations?,Mostly MYELOPATHIC Symptoms,,spine,cervical spine,,,,spine,cervical spine,,,
What is the Double-Crush Phenomenon?,Combined Cervical Root Compression and Distal Nerve Compression,Decreased Axoplasmic Flow from Root Compression Predisposes Downstream Nerves to Peripheral Entrapment Syndromes,shoulderelbow,cervical spine,,,,shoulderelbow,upper extremity,upper extremity,,
What are 2 Types of Cysts that can cause Cervical Radiculopathy?,Synovial cysts Meningeal cysts,Rare causes,spine,cervical spine,,,,spine,cervical spine,,cervical radiculopathy,
What are 2 Vascular Causes of Cervical Radiculopathy?,Dural ArterioVenous Fistulae Tortuous Vertebral Arteries,,spine,cervical spine,,,,spine,cervical spine,,cervical radiculopathy,
How can Trauma Cause Cervical Radiculopathy?,Nerve Root Avulsion,,trauma,cervical spine,,,,trauma,cervical spine,,cervical radiculopathy,
What are 3 Key Anatomic Differences between the Cervical and Lumbar Spine Nerve Roots?,Pedicle/Nerve Root Mismatch Horizontal (Cervical) vs. Vertical (Lumbar) anatomy of nerve root Ventrolateral Course from Spinal Cord,,spine,cervical spine,,,,spine,cervical spine,,,
What are 2 Possible Origins of Neck Pain with Vertebral Motion?,Discogenic Mechanical due to Facet Arthrosis,,spine,cervical spine,,,,spine,cervical spine,,,
What are the 2 Most Commonly Affected Dermatomes in Cervical Radiculopathy?,Numbness/Tingling in Thumb (C6) Numbness/Tingling in Middle Finger (C7),,shoulderelbow,cervical spine,,,,shoulderelbow,cervical region,cervical region,cervical radiculopathy,
What is the Most Commonly Affected Myotome in Cervical Radiculopathy?,C7 - Difficulty with Overhead Activities and Grip Strength,,shoulderelbow,cervical spine,,,,shoulderelbow,cervical region,cervical region,cervical radiculopathy,
What is the Most Commonly Affected Nerve Root in Cervical Radiculopathy?,C7,,spine,cervical spine,,,,spine,cervical region,cervical region,cervical radiculopathy,
What is the LEAST Commonly Affected Nerve Root in Cervical Radiculopathy?,C8 - Presents Similarly to Ulnar Neuropathy,,spine,cervical spine,,,,spine,cervical spine,,cervical radiculopathy,
What are the 4 Variables the Paprosky Classification of Acetabular Bone Loss is Based Upon?,"Location or Migration of the Hip Center of Rotation in Reference to the Superior Obturator Line Degree of Teardrop Destruction Amount of Ischial Osteolysis Integrity of the Kohler Line (ie, Ilioischial line)","Facilitates Objective Assessment of Bone Loss involving the Superior Dome, Medial Acetabular Wall, and Posterior Column.",recon,pelvis,acetabulum,,,recon,acetabulum,acetabulum,,
What are the Major Indications for Revision of THA Acetabular Component?,Aseptic Loosening Hip Instability Periprosthetic Osteolysis Periprosthetic Infection,,recon,hip,,,total hip arthroplasty,recon,hip,,,
What is the General Treatment for Paprosky Type I Acetabular Defects?,Standard Revision Components or with Cemented or Noncemented Hemispherical Cups,"Type I Paprosky defects are characterized by Minimal Bone Loss, with the Superior and Medial Walls of the Acetabulum remaining Intact. The Hip Center of Rotation is within 5 mm of the Superior Obturator Line, and there is NO Teardrop or Ischial Osteolysis.",recon,pelvis,,,,recon,pelvis,,,
What is the General Treatment for Paprosky Type IIA Acetabular Defects?,Cemented or Noncemented Hemispherical Cup with Screws for Initial Stability or with a Trabecular Metal Cup,"Type IIA Paprosky defects are characterized by MODERATE Bone Loss, with the Superior and Medial Walls of the Acetabulum remaining Intact. The Hip Center of Rotation is within 5 mm of the Superior Obturator Line, and there is NO Teardrop or Ischial Osteolysis.   However, there is a Loss of Bone in the Anterior and Posterior Columns, which can Compromise Component Stability.",recon,pelvis,,,,recon,pelvis,,,scr
What Factor Contributes to the High Incidence of Burst Fractures at the Thoracolumbar Junction?,Transition from RIGID Thoracic Spine to MOBILE Lumbar Spine acts as a Stress Riser and Predisposes to injury,,spine,thoracic spine,,,,spine,thoracolumbar junction,thoracolumbar junction,,
"With Burst Fractures, What 2 Injury Characteristics of the Middle Column are associated with Instability?",Widening of Interpedicular Distance on AP Radiograph Loss of Height of Posterior Cortex of Vertebral Body,,spine,thoracic spine,,,,spine,thoracic spine,,,
Burst Fractures of which Vertebrae can result in Conus Medullaris Syndrome?,L1,Paralysis of the Bowel and Bladder with Sparing of the Motor Nerve Roots of the Lower Extremity  L1 Burst Fx:,spine,lumbar spine,,,,spine,lumbar,lumbar,,
The TLICS Classification is Based on which 3 Injury Characteristics?,Injury Morphology Neurologic Status PLC Integrity,,spine,spine,,,,spine,spine,,,
What TLICS Score Recommends Operative Treatment?,>4,,spine,lumbar spine,,,,spine,thoracolumbar,thoracolumbar,,
What TLICS Score Can be Treated Operatively OR Nonoperatively?,4,,spine,lumbar spine,,,,spine,thoracolumbar,thoracolumbar,,
What TLICS Score Recommends Nonoperative Treatment?,<4,,spine,thoracic spine,,,,spine,thoracic spine,,,
What are 3 Common Symptoms of a Burst fracture?,Severe Back Pain Radicular Pain Parasthesias,,spine,thoracic spine,,,,spine,thoracic spine,,,
What are 4 Palpation Physical Exam Findings of a Burst fracture?,Palpation of Spinous Processes: Fluid Collection  Crepitus Increased Interspinous Distance - Suggests Injury to the Posterior Elements Localized Tenderness,,spine,thoracic spine,,,,spine,thoracic spine,,,
"With Burst Fractures, What are the indications for obtaining a CT scan?",Fracture on Plain Film Neurologic Deficit in Lower Extremity Inadequate Plain Films,Higher Sensitivity at detecting Acute Spine Fractures than plain films,spine,thoracic spine,,,,spine,thoracic spine,,,
"With Burst Fractures, What are 3 Indications for obtaining a CT Myelogram?",Alternative for patients with Pacemaker and other Implants that are MRI Incompatible Cannot assess the Cord Status  Consider Traumatic Durotomy,,spine,spine,,,,spine,spine,,,
What are the Indications for Treating Burst Fractures Nonoperatively?,Patients that are Neurologically Intact and Mechanically Stable  PLC Preserved No Focal Kyphosis on Flexion and Extension Lateral Radiographs Kyphosis < 30° (Controversial) Vertebral Body has Lost < 50% of Body Height (Controversial),Decreased Complication Rates in Neurologically Intact patients treated Nonsurgically  Equivalent Outcomes in Neurologically Intact patients,spine,thoracic spine,,,,spine,thoracic spine,,,
What are the Indications for Neurologic Decompression & Stabilization of Burst Fractures?,Neurologic Deficits with Radiographic Evidence of Cord/Thecal Sac Compression  TLICS Score = 5 or Higher,Both Complete and Incomplete Spinal Cord injuries require Decompression and Stabilization to Facilitate Rehabilitation,spine,thoracic spine,,,,spine,thoracic spine,,,
What are 3 Instances that a Posterior Decompression is Preferred for the Treatment of Burst Fractures?,Below Conus so possible to Medialize Thecal Sac to perform Decompression of Canal / Posterior Corpectomy and Expandable Cage  Injury to PLC so Posterior Tension-Band Stabilization Required  Fracture Dislocations,Possible Complication of Posterior Stabilization = Loss of Sagittal Plane Correction,spine,lumbar spine,,,,spine,thoracolumbar region,thoracolumbar region,,
What are 5 Instances that an Anterior Decompression is Preferred for the Treatment of Burst Fractures?,"Neurologic Deficits caused by Anterior Compression (Bony Retropulsion), especially Above the Conus Medullaris (above L2) Allow for Thorough Decompression of the Thecal Sac Substantial Vertebral Body Comminution in order to Reconstitute the Anterior Column Kyphotic Deformity >30° >4-5 days from the Injury",,spine,lumbar spine,,,,spine,thoracolumbar region,thoracolumbar region,,
"With Burst Fractures, what are 3 Complications of Over-Distracting a Posterior Instrumented Construct?",Pseudoarthrosis Chronic Pain Recurrent Deformity,,spine,spine,,,,spine,spine,,,
"With Burst Fractures, How Many Levels should be included in Posterior Constructs?",Modern Constructs typically involve 1 Level Above and 1 Level Below the Injury,Short Segment Fixation NOT Suitable for injuires involving the Thoracolumbar Junction,spine,thoracic spine,,,,spine,thoracic spine,,,
"With Burst Fractures, How is Indirect Decompression Performed through a Posterior Instrumented Construct?",Distraction and Lordosing Rod Construct leads to Ligamentotaxis of the Retropulsed Fragments,Attachments of the Annulus Fibrosis and PLL to the Fragments Facilitates Reduction  LESS Effective if Performed 4-5 Days after the Injury,spine,thoracic spine,,,,spine,thoracic spine,,,
"With Burst Fractures, What are the Goals of Posterior Distraction Instrumentation?",Posterior Instrumentation should be Under Distraction and Lordosis to Restore Vertebral Body Height and Achieve Indirect Decompression,,spine,spine,,,,spine,spine,,,
What are 3 Complications of Posterior Decompression in Burst fractures?,Dural Tear Iatrogenic Cord Injury d/t Excessive Thecal Retraction ABOVE the Conus Medullaris Iatrogenic Instability d/t Laminectomy in the setting of Disrupted PLC,,spine,spine,,,,spine,spine,,,
What are 2 Common Complications of Anterior Decompression in Burst fractures?,Ileus - Seen with Transperitoneal Approach to the Lumbar Spine Pleural Effusion - Related to Approaches Requiring Thoractomy,,spine,lumbar spine,,,,spine,abdomen,abdomen,,
What is the Most Common Complication of Burst fractures?,Pain,Over-Distraction with Instrumentation,spine,spine,,,,spine,spine,,,
What are 2 Possible Causes of Progressive Kyphosis in Burst Fractures?,Unrecognized Injury to PLL Increased Comminution of the Vertebral Body (Loss of Anterior Column Support),,spine,thoracic spine,,,,spine,thoracic spine,,,
What are 3 Common Factors that Predispose patients to Surgical Site Infections in Treatment of Burst fractures?,Catabolic State Increased Soft Tissue Damage Inflammatory Response,,trauma,spine,,,,trauma,spine,,,
What is a Potential Cause of Pseudoarthrosis with Posterior Instrumented Stabilization of Burst fractures?,Overdistraction Instrumentation,,spine,spine,,,,spine,spine,,,
What Percent of Spinal Cord Injuries result in Incomplete Tetraplegia?,34%,"11,000 new Spinal Cord Injury Cases/Year in US",spine,cervical spine,,,,spine,cervical spine,,,
What Percent of Spinal Cord Injuries result in Complete Paraplegia?,25%,"11,000 new Spinal Cord Injury Cases/Year in US",spine,spine,,,,spine,spinal cord,spinal cord,,
What Percent of Spinal Cord Injuries result in Complete Tetraplegia?,22%,"11,000 new Spinal Cord Injury Cases/Year in US",spine,cervical spine,,,,spine,cervical spine,,,
What Percent of Spinal Cord Injuries result in Incomplete Paraplegia?,17%,"11,000 new Spinal Cord Injury Cases/Year in US",spine,spine,,,,spine,spinal cord,spinal cord,,
