question,answer,additional_info,metadata.specialty,metadata.specialty2,metadata.region,metadata.subregion,metadata.diagnosis,metadata.diagnosis2,metadata.diagnosis3,metadata.diagnosis4,metadata.diagnosis5,metadata.procedure
What complication can occur when a fingertip amputation that acutely violates the FDP insertion is shortened and closed? What is the mechanism? Treatment?,"A lumbrical-plus finger can occur    FDP tendon retracts and creates tension on the extensor mechanism through its intact lumbrical origin, causing paradoxical PIPJ extension with active finger flexion   Treat with release of the lateral band",,hand,,hand,,finger_amputation,,,,,
What grafts are preferred for coverage in the volar hand and fingertip wounds? Why?,"Full thickness skin grafts   More durable, contract less, provide better sensibility",,hand,,hand,,finger_amputation,,,,,
What are the primary indications for upper extremity replantation?,"- Thumb amputation
- Amputation involving multiple digits
- Amputation at the wrist level or proximal
- Any amputation in a child
- Amputation outside of zone 2 flexor tendon sheath",,hand,,hand,,,,,,,
What are the primary contraindications to upper extremity replantation?,_level of amputation within zone II flexor tendon sheath,,hand,,hand,,,,,,,
What is the most predictive factor of digit survival after replantation?,Mechanism of injury,,hand,,hand,,,,,,,
"What is the most frequent cause of early, within 12 hours, replantation failure? What can be done if this is occurring?","Arterial thrombosis    Release constricting bandages, place extremity in dependent position, administer heparin, perform stellate ganglion block",,hand,,hand,,,,,,,
What is the most frequent cause of failure after 12 hours of digit replantation ? What can be done if this is occurring?,"Venous congestion or thrombosis   Remove dressings, elevate extremity, heparin soaked pledgers, leeches",,hand,,hand,,,,,,,
If using leech therapy for venous congestion what should be given concomitantly? Why?,Ceftriaxone or ciprofloxacin   Risk of aeromonas hydrophila infection,,hand,,hand,,,,,,,
What is the most commonly performed secondary procedure performed after successful digit replantation?,Tenolysis (tendon adhesions are common),,hand,,hand,,,,,,,
What is an Allen test?,Test to determine the presence or absence of a complete areterial arch in the palm   Compress both radial and ulnar arteries at wrist. Ask patient to squeeze and release hand several times. In sequential tests one artery is released while the other is compressed. A positive test denotes absent arterial filling of the digits when either the compressed radial or ulnar artery is released,,hand,,hand,,,,,,,
What percent of people have an incomplete palmar arch? Why is this important?,20%. There may be significant compromise of blood flow to the digits if the the dominant artery is injured proximally,,hand,,hand,,,,,,,
What is the most common post traumatic vascular occlusive condition of the upper extremity?,Hypothenar hammer syndrome,,hand,,forearm,,,,,,,
What is hypothenar hammer syndrome? Treatment?,"Thrombosis or aneurysm formation of the distal ulnar artery after blunt trauma to the hypothenar eminence (carpenters, roofers)   Clinical findings include localized tenderness, cold intolerance, ischemic pain, compression neuropathy of the ulnar nerve in guyon canal   Treatment may involve resection and ligation of the thrombosis ulnar artery or reconstruction with a revers interposition graft or arterial conduit for better patency rate",,hand,,hand,,,,,,,
What is the difference between Raynaud phenomenon and disease?,Phenomenonâ€”vasospasm with a known underlying cause   Diseaseâ€”unknown underlying cause,,hand,,hand,,,,,,,
What are the 10 hand compartments?,_Ðthenar Ðhypothenar ÐAdductor pollicis  Ðfour Dorsal interossei  Ðthree volar interossei,,hand,,hand,,,,,,,
What is volkmann ischemic contracture? What muscles are most vulnerable?,Classical sequela of untreated acute compartment syndrome in the forearm with flexion contractions developing from myonecrosis and muscle fibrosis in the forearm    FDP and FPL most common,,hand,,forearm,,,,,,,
What is the typical cause of carpal tunnel syndrome in adults? Children?,Adultsâ€”typically idiopathic   Childrenâ€”mucopolysaccharidosis,,hand,,wrist,,,,,,,
What is the nonoperative treatment of carpal tunnel syndrome? What is the typical result from steroid injections?,"Activity modification, night splints, NSAIDs, steroid injections   Steroids yield transient relief in 80% of patients after 6 weeks, but only 20% are symptom free at 1 year",,hand,,wrist,,,,,,,
What is the operative treatment of carpal tunnel syndrome? What role do internal median neurolysis or flexor tenosynovectomy play?,"Release of the transcarpal ligament (open, mini open , arthroscopic)   No additional benefit gained from neurolysis of tenosynovectomy",,hand,,wrist,,,,,,,
How do outcomes of endoscopic and open carpal tunnel release compare?,"Endoscopic May have less early scar tenderness, improved short term function, and better patient satisfaction scores; long term results are equivalent",,hand,,wrist,,,,,,,
What is pronator syndrome?,"Compression of the median nerve in the arm or forearm   Potential sites of compression: supracondylar process, ligament of Struthers, lacertus fibrosis (bicipetal aponeurosis), between 2 heads of pronator teres, FDS aponeurotic arch",,hand,,forearm,,,,,,,
How can pronator syndrome and carpal tunnel syndrome by differentiated clinically?,Pronator syndrome may have more proximal forearm pain and paresthesias that include the distribution of the palmar cutaneous branch of the median nerve,,hand,,forearm,,,,,,,
What is anterior interosseous nerve syndrome?,"Purely motor loss of FPL, index +/- long FDP, and pronator quadratus",,hand,,forearm,,,,,,,
What is cubital tunnel syndrome?,Pain/numbness/weakness from ulnar nerve compression. Paresthesias in the ulnar 1.5 digits (ulnar half o fthe ring finger and small finger) and dorsal ulnar hand.   Sites of compression: -arcade of Struthers (fascial thickening at hiatus of medial intermuscular septum as the nerve passes from anterior to posterior compartment 8cm proxal to the medial epicondyle) -medial head of the triceps -medial intermuscular septum -osborn ligament -anconeus epitrochlearis (anomalous muscle orignating from medial olecranon and inserting on medial epicondyle -between 2 heads of FCU muscle -aponeurosis of proximal edge of FDS,,shoulderelbow,,elbow,,,,,,,
"In cubital tunnel syndrome surgical treatment, which is better: simple decompression or transposition?",No difference in outcome between the two,,shoulderelbow,,elbow,,,,,,,
What is ulnar tunnel syndrome? Common cause?,"Compression neuropathy of the ulnar nerve in Guyon canal.    Most common cause is ganglion cyst (80%) of nontraumatic causes. Otherwise, usually caused by an extrinsic mass (lipoma, aneurysm, etc)",,hand,,wrist,,,,,,,
How is radial nerve palsy differentiated from PIN compression?,"radial nerve palsy will have additional weakness of proper radial nerve-innervated muscles such as triceps, brachioradialis, ECRL",,shoulderelbow,,forearm,,,,,,,
What is posterior interosseous nerve syndrome?,"Compression neuropathy of the PIN. Presents with lateral elbow pain and distal muscle weakness   Potential sites of compression: -fascial band at the radial head -recurrent leash of henry -Edge of ECRB -Arcarde of Frohse (most common site, at proximal edge of supinator) -Distal edge of supinator",,shoulderelbow,,elbow,,,,,,,
What is radial tunnel syndrome?,Lateral elbow and radial forearm pain without motor or sensory dysfunction.   Same sites of compression as PIN syndrome   Surgical outcome less predictable than that of PIN syndrome,,shoulderelbow,,forearm,,,,,,,
Wht is cheiralgia paresthetica?,a.k.a. Wartenberg syndrome. compressive neuropathy of the superfical sensory branch of the radial nerve   SBRN comressed between brachiradialis and ECRL with forearm prontation,,hand,,forearm,,,,,,,
What is thoracic outlet syndrome? What needs to be ruled out? What is the treatment?,"Two forms: -Vascular--subclavian vein compression -Neurogenic--entrapment of the lower brachial plexus   Neurogenic presnts with nonspecific paresthesias, fatigue   Must rule out Pancoast tumor with chest xray   Non-op treatment includes physical therapy. Resection of cervical rib if present",,shoulderelbow,,cervical spine,,,,,,,
Peripheral nerve repairs are ideally performed in what scenario? Is there a superior technique? How can gaps be addressed?,"Perform early, free of tension, clean wound bed   No technique deamed superior (epineural, individual fascicular, group fascicular)   Gaps can be addressed with nerve conduit, decellularized nerve allograft, or autograft",,hand,,hand,,,,,,,
What procedure can be considered for irrepairable nerve injuries? What is an advantage of this?,Nerve transfers   Advantage of providing shorter innervation distance to end-target muscle,,hand,,hand,,,,,,,
What is an Oberlin transfer?,Ulnar nerve motor branch (fascicle) to the FCU is transferred to the musculocutaneous nerve to help restor elbow flexion?,,shoulderelbow,,elbow,,,,,,,
What nerve transfer can be used to help restore shoulder abduction?,Descending branch of the spinal accessory nerve (CN XI) transferred to suprascapular nerve,,shoulderelbow,,shoulder,,,,,,,
What nerve transfer can be used to restore shoulder abduction/foward elevation?,Radial nerve motor branch to the triceps transferred to the axillary nerve,,shoulderelbow,,shoulder,,,,,,,
What is the most important predictor of success in cerebral palsy patients undergoing surgery to augment upper extremity function?,Voluntary muscle control,,peds,,shoulder,,,,,,,
What are the (6) basic tenets of tendon transfers?,Ð_Donor must be expendable ÐDonor must be of similar excursion and power ÐOne Transfer should perform one function ÐSynergistic transfers are easir to rehabilitate Ða straight line of pull is optimal ÐOne grade of motor strength will be lost after transfer,,hand,,hand,,,,,,,
What tendon transfers are performed for high radial nerve palsy?,Wrist extension--PT to ECRB Finger extension--FCU or FCR to EDC Thumb extension--palmaris longus to EPL,,hand,,forearm,,,,,,,
What tendon transfers are performed for low median nerve palsy?,Opponensplasty for loss of opposition of thumb   -FDS of ring to APB -EIP to thumb proximal phalanx -ADQ to APB -Palmaris longus to APB,,hand,,hand,,,,,,,
What is thumb CMC joint arthritis theorized to result from? What is the most common surgery for late-stage disease?,Theorized to result form anterior oblique ligament attenuation   Trapeziectomy with ligament reconstruction and tendon interposition most common late-stage surgery,,hand,,hand,,,,,,,
What are some common manifestations of rheumatoid arthritis in the hand?,_Rheumatoid nodules,,hand,,hand,,,,,,,
What is Vaughan-Jackson syndrome?,"Seen in Rheumatoid arthritis   Progressive rupture of hand extensor tendons starting with EDM and continuing radially, from attrition over a prominent distal ulnar head",,hand,,hand,,,,,,,
What is Mannerfelt syndrome?,Seen in rheumatoid arthritis   Rupture of FPL and/or index FDP secondary to attrition over a volar STT osteophyte,,hand,,wrist,,,,,,,
What are some common procedures used in rheumatoid arhtritis of the wrist/hand?,_Ðsynovectomy/tenosynovectomy Ðtendon transfers Ðextensor centralization at MCP joints Ðsilicone arthroplasty Ðwrist arthrodesis versus arthroplasty,,hand,,hand,,,,,,,
What is Kienbock disease?,"Idiopathic osteonecrosis of the lunate   Progressive, debiliating disease characterized by fragmentation and collapse of the lunate. Most common in men aged 20-40. Rare in children. Rarely bilateral.   Mulitfactorial etiology: -Lunate geometry -anatomic variability of lunate blood supply -increase intraosseous presssure from venous stasis -Negative ulnar variance -decreased radial inclination",,hand,,wrist,,,,,,,
Unexplained dorsal wrist pain in a young adult with negative ulnar variance should prompt what imaging study?,MRI evaluation (suspect Kienbock disease),,hand,,wrist,,,,,,,
What is the treatment of Kienbock disease?,"Based off of Lichtman stages:   Stage 1--cast immoblization (usually limited long term success), vascularized bone grafting has been used for stages I to IIIA   Operative treatment is indicated for stages II or higher, or those who fail trial of immoblization Stages I-IIIA:  ---First line treatment is a joint leveling procedure (ulnar negative variance--radial shortening osteotomy, ulnar positive variance--capitate shortening with capitohamate fusion ---Core decompression of radius and ulna ---Vascularized bone grafting   Stage IIIB: *Must address associated arpal instability ---Scaphoid-trapezium-trapezoid fusion, scaphocapitate fusion, proximal row carpectomy, or wrist fusion   Stage IV: ---Proximal row carpectomy or wrist fusion",,hand,,wrist,,,,,,,
