#separator:tab
#html:true
#tags column:12
<div><div><div><b>McCune-Albright syndrome</b> is due to a mutation affecting {{c1::Gs-protein}} signaling</div><div><br></div><div><br></div></div></div>		Seen in mosacism				"<img src=""tmp5SPRJp_1566160514431.png""><br><img src=""tmpleGToH_1566160514431.png"">"	"<img src=""paste-97efce2b775ba0d409ae10a46538937ad9516f91.jpg"">"				"#AK_Step1_v9::#B&B::10_Genetics::01_Concepts::01_Genetic_Principles #AK_Step1_v9::#FirstAid::01_Biochem::04_Genetics::01_Genetic_terms #AK_Step1_v9::#Pixorize::02_Biochem::25_Misc::05_McCune-Albright_Syndrome #AK_Step1_v9::#SketchyPath::07_Endocrine::01_Hypothalamic_&_Pituitary_Disorders::03_Hyperpituitarism #AK_Step1_v9::#UWorld::11653 #AK_Step1_v9::^HighYield::2-RelativelyHighYield #AK_Step1_v9::Biochem::genetics Ortho::Clerkships::Onc"
<b>Roof arc angle</b> in acetabular fractures help determine fracture pattern stability and is an angle between {{c1::vertical line through femoral head and line through fracture}}	"<img src=""paste-7c05d4dac0b764833ca3be8349802f8b0b8bc23e.jpg""><img src=""paste-e5acfd37c570b529366750219e2edb49d5e2d5ef.jpg"">"										
<b>Internervous plane </b>for <b><u>medial approach to the elbow </u>proximally </b>is between {{c1::brachialis (musc. nerve)}} and {{c1::triceps (radial)}}, <b>distally </b>is between {{c1::brachialis (musc. nerve)}} and {{c1::pronater teres (median)}}	"<img src=""paste-4079a79d0c513ec8de0b520655f09611df43e818.jpg"">"										"#Ortho::Approaches::Elbow::Medial"
Mechanism of <b>TFCC </b>injury is either <b>Type 1 traumatic injury</b> most commonly {{c1::fall on extended wrist with forearm pronation}} or <b>Type 2 degenerative injury</b> is associated with {{c2::positive ulnar variance}} and {{c2::ulnocarpal impaction}}	"<img src=""paste-206668f270bf794b9d59ef56d312cc4ec4fccf8e.jpg"">"										"#Ortho::Orthobullets::Hand::Degenerative::UlnarSided::TFCC_Injury"
First line non-operative treatment for <b>TFCC injury </b>is {{c1::immobilization with wrist widget}}, {{c1::NSAIDs}}, {{c1::CSI}}	"<img src=""paste-ba6edb8ed8ea731e13a3712c4d61738b755f8063.jpg"">"										"#Ortho::Orthobullets::Hand::Degenerative::UlnarSided::TFCC_Injury"
Diagnostic gold standard for TFCC injury is {{c1::arthroscopic debridement}} for treatment of Class {{c1::1A traumatic central perforation or tear}}	"<img src=""paste-207ce1e38da675de767e4803296d29a4a9da4e66.jpg"">"										"#Ortho::Orthobullets::Hand::Degenerative::UlnarSided::TFCC_Injury"
Operative treatment for <b>TFCC injury </b>in Type 1B ({{c2::ulnar avulsion without ulnar styloid fx}}) 1C ({{c3::Distal Avulsion of UL or UT ligament}}) or 1D ({{c4::radial avulsion}}) is {{c1::arthroscopic repair}}	"<img src=""paste-207ce1e38da675de767e4803296d29a4a9da4e66.jpg""><br><img src=""Fig-14.jpg"">"										"#Ortho::Orthobullets::Hand::Degenerative::UlnarSided::TFCC_Injury"
Operative treatment for <b>Type 2 (degenerative) TFCC </b>injury are {{c2::ulnar diaphyseal shortening}} if <b>ulnar positive variance &gt;</b> {{c2::2 mm}}, otherwise treatment is {{c1::Wafer procedure}}	"<span style=""color: rgb(32, 33, 36);"">The arthroscopic wafer procedure involves&nbsp;</span><b>debridement of the central triangular fibrocartilage complex tear, along with debridement of the distal pole of the ulna causing the impaction</b><br><img src=""paste-c7d565fb81480b288907d4206cbf53122b7501a2.jpg""><br><img src=""paste-058ea286cb9f386152f5328cef21f39603166482.jpg"">"										"#Ortho::Orthobullets::Hand::Degenerative::UlnarSided::TFCC_Injury"
Ganglion cysts are the most common hand mass, most often occuring dorsally (70%) which orginates from the {{c1::scapholunate}} articulation, volar (20%) orginating from the {{c1::radiocarpal}} or {{c1::scaphotrapeziotrapezoid (STT)}} joint	"<img src=""39b9a-triscaphoid-joint.jpg""><img src=""paste-013c08c44d8c33d2ca0e0998f71dc7bf1185ff44.jpg"">"										"#Ortho::Orthobullets::Hand::GanglionCysts"
Which ganglion cyst have a higher rate of recurrance after resection (15-20%)?<br><br>{{c1::Volar Ganglions::Volar or Dorsal}}	"<img src=""paste-90cba418816a3270ac992086e3f43c8f04eb8e4b.jpg"">"										"#Ortho::Orthobullets::Hand::GanglionCysts"
Specific pathological entities in <b>Dupuytren's disease </b>causes the following contractures: <br>The {{c1::pretendinous/central}} cord inserts into {{c3::flexor sheath at PIPJ level}} and causes {{c2::MCP}} contracture. <br>The {{c1::natatory ligament}} causes {{c2::web space}} contracture<br>The {{c1::spiral}} cord inserts distally into the {{c3::lateral digital sheet}} then into {{c3::Grayson's ligament}} causes {{c2::MCP}} and {{c2::PIP}} contracture. <br>The {{c1::lateral}} cord causes {{c2::PIP}} or {{c2::DIP}} flexion contracture. <br>The {{c1::retrovascular}} cord runs {{c3::dorsal}} to the NV structures and inserts on the {{c3::distal phalanx}} causes {{c2::DIP}} hyperextension contracture.	"<img src=""https://upload.orthobullets.com/question/5506/images/screen_shot_2015-02-19_at_5.07.38_pm.jpg"">&nbsp;<img src=""https://upload.orthobullets.com/topic/6058/images/spiral_cord.jpg"">&nbsp;<img alt=""Dupuytren Disease | Musculoskeletal Key"" src=""https://i2.wp.com/musculoskeletalkey.com/wp-content/uploads/2018/09/f004-010-9781455774272.jpg?w=960"">"										"#Ortho::Orthobullets::Hand::Dupuytren"
Is Duyputren's more common in men or woman?<br><br>{{c1::2:1 male to female ratio, more severe in men}}	"<img src=""paste-434d1aa0ae8ed43940fcbd9766c44bb02b00c50b.jpg"">"										"#Ortho::Orthobullets::Hand::Dupuytren"
The <b>dominant cell type </b>in <b>Duyputren's </b>is {{c1::myofibroblasts}} which has <b>intracellular </b>{{c2::actin}} filaments and connect with adjacent {{c1::myofibroblasts}} via <b>extracellular </b>{{c2::fibronectin}} to cause contracted tissue	"<img src=""paste-e558d61441783ccd3ab6c610559e5778a0c84e80.jpg"">"										"#Ortho::Orthobullets::Hand::Dupuytren"
Xiaflex (Clostridium collagenase) may be attempted for patients with Duyputren's contracture and is most effective in patients with &lt;{{c1::5}}°, more successful with {{c1::MCP}} than {{c1::PIP::which joints}}	"PIP recurrence more severe than MCP recurrence<br><img src=""paste-a0203583fca0aa4e56e0408c44a53a77bbeb626e.jpg"">"										"#Ortho::Orthobullets::Hand::Dupuytren"
<b>Indication for surgical fasciectomy </b>of <b>Duyputren's </b>is MCP flexion contractures &gt;{{c1::30}}° and PIP flexion contractures	Cannot make a flat palm on the table										"#Ortho::Orthobullets::Hand::Dupuytren"
Fusion of the DIP joints for arthritis is the operative treatment for pain relief. <b>2nd and 3rd digits</b> are fused at {{c1::0° flexion (fused in extension)}}, <b>4th and 5th </b>digit fused in {{c1::10-20° flexion}}	"<img src=""paste-77963cbc99c87d240eb2968e248ba09013f167ce.jpg"">"										"#Ortho::Orthobullets::Hand::Arthritis"
<b>Mucous cysts </b>are often present with <b>DIP joint arthritis </b>and typically spontaneously resolve with observation. Surgical intervention is {{c1::mucuous cyst excision}} with {{c1::osteophyte resection}}	"osteophytes MUST be debrided or mucous cyst will recur<br><img src=""mucous-cyst-with-no-nail-in.jpg"">"										"#Ortho::Orthobullets::Hand::Arthritis"
In operative treatment of PIP arthritis, fusion is always indicated in the {{c1::border digits (index, small)}}, and fusion angles should recreate finger cascade: index:{{c2::30}}°, long: {{c2::35}}°, ring: {{c2::40}}°, small: {{c2::45}}°	"<img src=""paste-e9614382c2540381803a5780fc0c3d3c6b0601cd.jpg"">"										"#Ortho::Orthobullets::Hand::Arthritis"
Which hand joint arthritis can be treated with silicone arthroplasty?<br><br>{{c1::Middle and Ring PIPJ (central digits)}}	"<img src=""paste-2ffac5196f78fb11f376d76314c4a0038059e490.jpg"">"										"#Ortho::Orthobullets::Hand::Arthritis"
PIP joint arthroplasty has been shown to improve pain, but does it increase PIPJ ROM, grip strength or outcomes?<br><br>{{c1::NO}}	Good for pain, but not really shown to help ROM or strength. Also high revision rates as high as 25-34%										"#Ortho::Orthobullets::Hand::Arthritis"
<b>Indications for PIPJ arthroplasty</b>: {{c1::central digits (long or ring)}}, good bone stock, {{c1::no angulation or deformity}}, {{c1::RCL}} should be intact to tolerate pinch grip	"<img src=""paste-2ffac5196f78fb11f376d76314c4a0038059e490.jpg"">"										"#Ortho::Orthobullets::Hand::Arthritis"
Clinical diagnosis of {{c1::sagittal band ruptures}} is characterized by inability to {{c2::initiate MCP extension}} but ability to {{c2::hold MCP in extension once passively extended}}	"<img src=""paste-cd9736679a0c3e622407ed08326b268367191566.jpg"">"										"#Ortho::Orthobullets::Hand::SagittalBandRupture"
Which finger and laterality (radial or ulnar) is most common for sagittal band ruptures?<br><br>{{c1::Middle finger and radial sagittal band 9:1 ratio}}	"More common in fighters (puglists)<br><img src=""Sagital band anatomy_moved.jpg""><br><img src=""paste-ea4216d2900f705f9dab41af2635b8ed34929ff4.jpg"">"										"#Ortho::Orthobullets::Hand::SagittalBandRupture"
The {{c1::sagittal band}}&nbsp;is the primary stabilizer of the extensor tendon at {{c1::MCP}} joint preventing {{c2::ulnar deviation}} of the extensor tendon during MCP {{c2::flexion}} and prevents {{c3::bowstringing}} during MCP joint {{c3::hyperextension}}	"<img src=""trianglig._moved.jpg"">"										"#Ortho::Orthobullets::Hand::SagittalBandRupture"
Complete rupture of the radial sagittal band leads to extensor tendon {{c1::dislocation}}, sectioning of {{c1::50%}} leads to tendon <b><u>subluxation</u></b>	"<img src=""paste-c0c6ec0041c4ab506216c9ea6d8aaf080e5d0ebb.jpg"">"										"#Ortho::Orthobullets::Hand::SagittalBandRupture"
Does complete rupture of the <b><u>ulnar sagittal band </u></b>cause extensor tendon dislocation?<br><br>{{c1::NO; only radial SB}}	"<img src=""paste-c0c6ec0041c4ab506216c9ea6d8aaf080e5d0ebb.jpg"">"										"#Ortho::Orthobullets::Hand::SagittalBandRupture"
<b>Sagittal band injury </b>is based on the <b><u>Rayan and Murray classification</u></b>:&nbsp;<br><br>Type 1: {{c1::Sagittal band injury without extensor tendon instability}}<br>Type 2: {{c1::Sagittal band injury with tendon subluxation}}<br>Type 3: {{c1::Sagittal band injury with tendon dislocation}}	"<img src=""rayan and murray.jpg"">"										"#Ortho::Orthobullets::Hand::SagittalBandRupture"
<b>Acute sagittal band injury</b> within {{c1::6}} weeks is treated with {{c1::extension splint or yoke splint}} for 4-6 weeks	"<img src=""paste-d237d129a0229ccb99517ba4ff85f0f4097f7af4.jpg"">"										"#Ortho::Orthobullets::Hand::SagittalBandRupture"
Operative treatment for sagittal band injuries are reserved for <b>professional athletes</b> with <b>chronic injuries &gt;6 weeks </b>and consist of {{c1::direct repair (kettlekamp)}} or {{c1::extensor centralization (realignment) procedure}}	"Trapdoor flap&nbsp;<br><br><img src=""trapdoor.jpg""><br><img src=""paste-2d3d58e54a973cef1555fe4cdbbb1a6e5031cbb4.jpg""><br><br><img src=""kettlekamp.jpg"">"										"#Ortho::Orthobullets::Hand::SagittalBandRupture"
<b><u>Camptodactyly </u></b>is typically treated with<b> passive stretching and dynamic splinting or serial casting </b>which is best for <b>PIP contractures</b> &lt; {{c1::30}} degrees, otherwise <b>operative intervention </b>is {{c2::FDS tenotomy}} +/- transfer to {{c2::radial lateral band}}	"<img src=""Lateral of finger with muscles_moved.jpg""><br><img src=""paste-8d6f111b4f09c6fae380bd9e8e5591b272eb701a.jpg"">"										"#Ortho::Orthobullets::Hand::Camptodactyly"
Chronic SL ligament injury in <b>SLAC wrist</b> results in scaphoid {{c1::flexion}} and lunate {{c1::extension}} as SL ligament no longer restrains this articulation creating a {{c1::DISI (dorsal intercalated segment instability)}}&nbsp; deformity&nbsp;	"This deformity causes abnormal distribution of forces across the midcarpal and radiocarpal joints and initially affects the radioscaphoid joint prior to progressing to capitolunate arthritis&nbsp;<div><img src=""paste-a201483d410aea935a636fce089ebe84689365be.png""><br><img src=""paste-e0e84a859696a6ea7fe0a6930b5629e7ccc90909.jpg""><div><br></div></div>"										"#Ortho::Orthobullets::Hand::SLAC"
<b>Watson Classification</b> for <b>Scaphoid Lunate Advanced Collapse (SLAC)<br></b><br>Stage I: Arthritis between {{c2::scaphoid}} and {{c2::radial styloid}}<br>Stage II: Arthritis between {{c2::scaphoid}} and {{c2::entire scaphoid facet of the radius}}<br>Stage III: Arthritis between {{c1::capitate}} and {{c1::lunate}}	"<img src=""paste-cb3e210fe0acaab28324ee46136e1aa9763f39a2.jpg"">"										"#Ortho::Orthobullets::Hand::SLAC"
Which joint is spared in scaphoid lunate advanced collapse (SLAC) wrist?<br><br>{{c1::radiolunate joint}}	"<img src=""paste-cb3e210fe0acaab28324ee46136e1aa9763f39a2.jpg"">"										"#Ortho::Orthobullets::Hand::SLAC"
<b>Watson scaphoid shift test</b> is performed with firm pressure over the palmar tuberosity of the scaphoid while wrist is moved from {{c1::ulnar}} to {{c1::radial}} deviation	<b>Positive in early SLAC wrist,</b> but not in more advanced cases as arthritic changes stabalize the scaphoid<br><br><b>Positive in SL ligament injuries</b>										"#Ortho::Orthobullets::Hand::SLAC"
Nonoperative treatment for SLAC wrist is {{c1::NSAIDs, wrist splinting, and CSIs::3}}											"#Ortho::Orthobullets::Hand::SLAC"
Operative intervention for <b>SLAC stage 1</b> is {{c1::radial styloidectomy}} or {{c2::PIN}} and {{c2::AIN}} denervation as these nerves only provide proprioception and sensation to wrist capsule at this level	Radial styloidectomy can be perfomed open or arthroscopically<br><br>PIN and AIN denervation is also used in combination with proximal row carpectomy or scaphoid excisions with four corner fusion										"#Ortho::Orthobullets::Hand::SLAC"
{{c2::Proximal row carpectomy}}<b>&nbsp;</b>is a treatment option for <b>SLAC Stage II</b> and is contraindicated&nbsp;with {{c1::caputolunate arthritis (Stage III SLAC)}} and if there is an incompetent {{c1::RSC}} ligament which is required to prevent {{c1::ulnar subluxation}} s/p carpectomy	Requires the capitate to articulate with lunate fossa of the distal radius after removing proximal row										"#Ortho::Orthobullets::Hand::SLAC"
{{c1::Scaphoid excision and four corner fusion}} is a partial wrist sparing procedure for treatment of <b>SLAC II or III </b>allowing wrist motion through preserved articulation between lunate and distal radius	"<img src=""6-Scapholunate-4-Corner-Fusion.jpg""><img src=""images-98e1796f8c99549a0f624ef60718ae230c4a180f.jpg"">"										"#Ortho::Orthobullets::Hand::SLAC"
<b>Wrist fusion</b> is indicated in {{c1::<b>Stage III SLAC</b>}} or any form of {{c1::<b>pancarpal arthritis</b>}}&nbsp;and has been shown to give the best pain relief and good grip strength at the cost of wrist motion	"<img src=""paste-83908e2d42280f71940230bf59864ae30ca57a8d.jpg"">"										"#Ortho::Orthobullets::Hand::SLAC"
{{c1::Scaphoid Nonunion Advanced Collapse (SNAC)}} describes the specific pattern of&nbsp;<b>progressive arthritis of the wrist</b> that results from a <b><u>chronic scaphoid nonunion</u></b>	"<img src=""snac_moved.jpg""><br><img src=""paste-39235b6b4e885c3631b7550307c93ef508a2f155.jpg"">"										"#Ortho::Orthobullets::Hand::SNAC"
<b>Major blood supply to scaphoid </b>is {{c1::dorsal carpal branch}} of radial artery which supplies <b>proximal 80% via retrograde blood flow</b> while the <b>distal 20%</b> is supplied by the {{c1::superficial palmar arch}} branch of <b><i>volar radial artery</i></b>	"<span style=""color: rgb(31, 31, 31);"">Blood flow to the scaphoid bone occurs via retrograde ('backwards') flow, meaning&nbsp;</span><b>blood enters at the distal (top) portion of the bone and there is no direct blood supply to the proximal (bottom) portion of the bone</b><span style=""color: rgb(31, 31, 31);"">. This retrograde blood supply is what can cause a fracture nonunion to go on to AVN&nbsp;<br></span><img src=""Blood supply TTC_moved.jpg""><span style=""color: rgb(31, 31, 31);""><br></span>"										"#Ortho::Orthobullets::Hand::SNAC"
SNAC wrist radiographic classification<br><br>Stage I: Arthrosis localized to radial side of {{c1::scaphoid}} and {{c1::radial styloid}}<br>Stage II: {{c1::Scaphocapitate}} arthrosis in addition to stage I<br>Stage III: Periscaphoid arthrosis	"<img src=""paste-c9c09c3a4a62954215668c95ec64c4cdbd796f15.jpg""><br><img src=""paste-92ff17293e819e26221f92b77c9f0df50b0bde3b.jpg"">"										"#Ortho::Orthobullets::Hand::SNAC"
Operative treatment in SNAC wrist Stage I is {{c1::radial styloidectomy}} with {{c1::scapholunate reduction and stabilization}} or {{c1::distal pole excision}}	"<img src=""3-Scapholunate-RASL.jpg"">"										"#Ortho::Orthobullets::Hand::SNAC"
SNAC {{c1::Stage II and III}} is treated with <b>proximal row carpectomy </b>or <b>four-corner fusion</b> or <b>capitolunate arthrodesis</b> or <b>wrist fusion</b>	"<img src=""paste-42f6cc14dac4544603b10330f5dab7fa2041ca53.jpg""><div><img src=""6-Scapholunate-4-Corner-Fusion.jpg""><br></div>"										"#Ortho::Orthobullets::Hand::SNAC"
<b>Scaphoid fractures</b> are the most common carpal bone fracture most typically injured from FOOSH with axial load on a {{c1::hyperdorsiflexed}}, {{c1::pronated}}, and {{c1::ulnar}} deviated wrist	"<img src=""scaphoidfracture3_orig.jpg"">"										"#Ortho::Orthobullets::Hand::ScaphoidFx"
Scaphoid fracures occur most commonly in the <b><u>waist </u></b>(65%), proximal third (25%) and distal pole (10%) although historically {{c1::distal pole}} was most common in pediatrics due to <b>ossification sequence </b>however waist fractures have recently become more common	"<img src=""Scaphoid_image5.png"">"										"#Ortho::Orthobullets::Hand::ScaphoidFx"
